# Setup: RUNS=15, THREADS=4, NUM_SIGNALS=20, NUM_REF=10
start,setup,1st,2nd,end,setup-time,first-propagation,second-propagation,third-propagation,total-time
1377252383516,1377252383532,1377252388105,1377252390356,1377252396256,16,4573,2251,5900,12740
1377252396372,1377252396373,1377252400041,1377252402289,1377252408177,1,3668,2248,5888,11805
1377252408222,1377252408223,1377252411863,1377252414111,1377252420012,1,3640,2248,5901,11790
1377252420062,1377252420062,1377252423717,1377252425972,1377252431850,0,3655,2255,5878,11788
1377252431892,1377252431894,1377252435562,1377252437814,1377252443694,2,3668,2252,5880,11802
1377252443737,1377252443737,1377252447379,1377252449644,1377252455544,0,3642,2265,5900,11807
1377252455585,1377252455586,1377252459257,1377252461512,1377252467491,1,3671,2255,5979,11906
1377252467533,1377252467533,1377252471260,1377252473559,1377252479585,0,3727,2299,6026,12052
1377252479628,1377252479629,1377252483378,1377252485662,1377252491590,1,3749,2284,5928,11962
1377252491629,1377252491630,1377252495302,1377252497560,1377252503484,1,3672,2258,5924,11855
1377252503524,1377252503524,1377252507169,1377252509412,1377252515291,0,3645,2243,5879,11767
1377252515331,1377252515332,1377252518972,1377252521217,1377252527094,1,3640,2245,5877,11763
1377252527137,1377252527137,1377252530778,1377252533026,1377252538931,0,3641,2248,5905,11794
1377252538970,1377252538970,1377252542614,1377252544859,1377252550759,0,3644,2245,5900,11789
1377252550799,1377252550799,1377252554447,1377252556699,1377252562623,0,3648,2252,5924,11824

